ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE2004,2025-09-11,38.406208,46.67644119262695,2025-09-01
VE2005,2025-09-11,49.66544,51.8980598449707,2025-09-01
VE2006,2025-09-11,71.358,67.80902099609375,2025-09-01
VE2007,2025-09-11,98.8667,101.4935073852539,2025-09-01
VE2008,2025-09-11,48.400734,54.256019592285156,2025-09-01
VE2009,2025-09-11,67.47073,78.46624755859375,2025-09-01
VE2010,2025-09-11,33.10853,40.91413497924805,2025-09-01
VE2011,2025-09-11,42.36653,44.569610595703125,2025-09-01
VE2012,2025-09-11,36.59049,46.85800552368164,2025-09-01
VE2013,2025-09-11,36.47691,43.68739700317383,2025-09-01
VE2014,2025-09-11,46.14933,44.292606353759766,2025-09-01
VE2015,2025-09-11,36.11809,45.79209518432617,2025-09-01
VE2016,2025-09-11,93.128624,83.62464904785156,2025-09-01
VE2017,2025-09-11,33.756847,40.8768310546875,2025-09-01
VE2018,2025-09-11,32.974182,38.29631042480469,2025-09-01
VE2019,2025-09-11,61.756214,67.46788787841797,2025-09-01
VE2020,2025-09-11,34.676785,43.043846130371094,2025-09-01
VE2021,2025-09-11,50.081837,52.31254959106445,2025-09-01
VE2022,2025-09-11,53.186176,63.16328430175781,2025-09-01
VE2023,2025-09-11,54.81833,57.81342315673828,2025-09-01
VE2024,2025-09-11,48.13706,65.40839385986328,2025-09-01
VE2025,2025-09-11,36.69266,46.32509231567383,2025-09-01
VE2026,2025-09-11,48.872505,54.14283752441406,2025-09-01
VE2027,2025-09-11,59.32852,65.3355484008789,2025-09-01
VE2028,2025-09-11,50.77379,55.94305419921875,2025-09-01
VE2029,2025-09-11,56.05683,65.96953582763672,2025-09-01
VE21,2025-09-11,44.70408,44.3705940246582,2025-09-01
VE2101,2025-09-11,44.341896,44.90524673461914,2025-09-01
VE2102,2025-09-11,47.95431,49.35080337524414,2025-09-01
VE2103,2025-09-11,37.595203,46.216007232666016,2025-09-01
VE2104,2025-09-11,44.56589,44.367828369140625,2025-09-01
VE2105,2025-09-11,36.381985,42.62961196899414,2025-09-01
VE2106,2025-09-11,37.863426,47.0728874206543,2025-09-01
VE2107,2025-09-11,56.912914,58.168148040771484,2025-09-01
VE2108,2025-09-11,51.918526,55.77128601074219,2025-09-01
VE2109,2025-09-11,45.180157,49.644535064697266,2025-09-01
VE2110,2025-09-11,43.976475,45.41701889038086,2025-09-01
VE2111,2025-09-11,39.738506,48.79024887084961,2025-09-01
VE2112,2025-09-11,37.659195,44.5236930847168,2025-09-01
VE2113,2025-09-11,43.042717,45.0980339050293,2025-09-01
VE2114,2025-09-11,45.368023,46.217552185058594,2025-09-01
VE2115,2025-09-11,37.298218,46.18151092529297,2025-09-01
VE2116,2025-09-11,40.61746,44.974571228027344,2025-09-01
VE2117,2025-09-11,37.138714,44.935115814208984,2025-09-01
VE2118,2025-09-11,38.528954,44.34840774536133,2025-09-01
VE2119,2025-09-11,36.00696,42.40667724609375,2025-09-01
VE2120,2025-09-11,37.261612,43.27048873901367,2025-09-01
VE22,2025-09-11,42.053364,43.06926727294922,2025-09-01
VE2201,2025-09-11,42.37322,43.11813735961914,2025-09-01
VE2202,2025-09-11,41.56355,41.21133041381836,2025-09-01
VE2203,2025-09-11,40.507523,38.925567626953125,2025-09-01
VE2204,2025-09-11,44.291176,45.17692947387695,2025-09-01
VE2205,2025-09-11,43.42255,45.35422134399414,2025-09-01
VE2206,2025-09-11,39.503765,37.403175354003906,2025-09-01
VE2207,2025-09-11,42.847023,43.99293899536133,2025-09-01
VE2208,2025-09-11,42.87709,43.75560760498047,2025-09-01
VE2209,2025-09-11,43.005524,45.02382278442383,2025-09-01
VE2210,2025-09-11,32.47337,38.99968338012695,2025-09-01
VE2211,2025-09-11,46.72462,46.128326416015625,2025-09-01
